,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
0,age,adult,0,0.9919061660766602,adult,mac_hybrid_200_2048_1e-05
1,hair_type,wavy,3,0.753150224685669,wavy,mac_hybrid_200_2048_1e-05
2,hair_color,black,0,0.994268536567688,black,mac_hybrid_200_2048_1e-05
3,eye_color,black,1,0.4698265790939331,black,mac_hybrid_200_2048_1e-05
4,monk_scale,scale 4,4,0.5159118175506592,scale 4,mac_hybrid_200_2048_1e-05
5,fitz_type,type iii,2,0.39305514097213745,type iv,mac_hybrid_200_2048_1e-05
6,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
7,age,adult,0,0.995870053768158,adult,mac_hybrid_200_2048_1e-05
8,hair_type,wavy,3,0.850813090801239,wavy,mac_hybrid_200_2048_1e-05
9,hair_color,black,0,0.9973031282424927,black,mac_hybrid_200_2048_1e-05
10,eye_color,black,1,0.8961986303329468,black,mac_hybrid_200_2048_1e-05
11,monk_scale,scale 4,4,0.8903895020484924,scale 4,mac_hybrid_200_2048_1e-05
12,fitz_type,type iii,2,0.9604198932647705,type iii,mac_hybrid_200_2048_1e-05
13,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
14,age,adult,0,0.9955991506576538,adult,mac_hybrid_200_2048_1e-05
15,hair_type,wavy,3,0.6064006686210632,wavy,mac_hybrid_200_2048_1e-05
16,hair_color,black,0,0.6883938312530518,black,mac_hybrid_200_2048_1e-05
17,eye_color,black,1,0.8953312039375305,black,mac_hybrid_200_2048_1e-05
18,monk_scale,scale 4,4,0.49384817481040955,scale 4,mac_hybrid_200_2048_1e-05
19,fitz_type,type iii,2,0.8578326106071472,type iii,mac_hybrid_200_2048_1e-05
20,male,1,1,0.9999999,0,mac_hybrid_200_2048_1e-05
21,age,adult,0,0.9785624146461487,adult,mac_hybrid_200_2048_1e-05
22,hair_type,wavy,3,0.6501489281654358,wavy,mac_hybrid_200_2048_1e-05
23,hair_color,black,0,0.9558677077293396,black,mac_hybrid_200_2048_1e-05
24,eye_color,black,1,0.8015246391296387,black,mac_hybrid_200_2048_1e-05
25,monk_scale,scale 4,4,0.9752732515335083,scale 4,mac_hybrid_200_2048_1e-05
26,fitz_type,type iii,2,0.1007460355758667,type iv,mac_hybrid_200_2048_1e-05
27,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
28,age,adult,0,0.9993652701377869,adult,mac_hybrid_200_2048_1e-05
29,hair_type,wavy,3,0.8470772504806519,wavy,mac_hybrid_200_2048_1e-05
30,hair_color,black,0,0.9446632862091064,black,mac_hybrid_200_2048_1e-05
31,eye_color,black,1,0.34028488397598267,brown,mac_hybrid_200_2048_1e-05
32,monk_scale,scale 4,4,0.8993991017341614,scale 4,mac_hybrid_200_2048_1e-05
33,fitz_type,type iii,2,0.28024137020111084,type iv,mac_hybrid_200_2048_1e-05
34,male,1,1,0.9999882,0,mac_hybrid_200_2048_1e-05
35,age,adult,0,0.9960571527481079,adult,mac_hybrid_200_2048_1e-05
36,hair_type,wavy,3,0.38065075874328613,straight,mac_hybrid_200_2048_1e-05
37,hair_color,black,0,0.9843963384628296,black,mac_hybrid_200_2048_1e-05
38,eye_color,black,1,0.3128758668899536,brown,mac_hybrid_200_2048_1e-05
39,monk_scale,scale 4,4,0.2755368649959564,scale 5,mac_hybrid_200_2048_1e-05
40,fitz_type,type iii,2,0.35141319036483765,type iv,mac_hybrid_200_2048_1e-05
41,male,1,1,0.9999989,0,mac_hybrid_200_2048_1e-05
42,age,adult,0,0.9538467526435852,adult,mac_hybrid_200_2048_1e-05
43,hair_type,wavy,3,0.860707700252533,wavy,mac_hybrid_200_2048_1e-05
44,hair_color,black,0,0.9852275848388672,black,mac_hybrid_200_2048_1e-05
45,eye_color,black,1,0.7282986640930176,black,mac_hybrid_200_2048_1e-05
46,monk_scale,scale 4,4,0.4531191289424896,scale 4,mac_hybrid_200_2048_1e-05
47,fitz_type,type iii,2,0.9153692126274109,type iii,mac_hybrid_200_2048_1e-05
48,male,1,1,0.9999983,0,mac_hybrid_200_2048_1e-05
49,age,adult,0,0.9845996499061584,adult,mac_hybrid_200_2048_1e-05
50,hair_type,wavy,3,0.0837213322520256,curly,mac_hybrid_200_2048_1e-05
51,hair_color,black,0,0.9884240031242371,black,mac_hybrid_200_2048_1e-05
52,eye_color,black,1,0.6825700402259827,black,mac_hybrid_200_2048_1e-05
53,monk_scale,scale 4,4,0.7895084619522095,scale 4,mac_hybrid_200_2048_1e-05
54,fitz_type,type iii,2,0.22412462532520294,type iv,mac_hybrid_200_2048_1e-05
55,male,1,1,0.999988,0,mac_hybrid_200_2048_1e-05
56,age,adult,0,0.9984849095344543,adult,mac_hybrid_200_2048_1e-05
57,hair_type,wavy,3,0.8716070055961609,wavy,mac_hybrid_200_2048_1e-05
58,hair_color,black,0,0.9833199381828308,black,mac_hybrid_200_2048_1e-05
59,eye_color,black,1,0.906484842300415,black,mac_hybrid_200_2048_1e-05
60,monk_scale,scale 4,4,0.7569781541824341,scale 4,mac_hybrid_200_2048_1e-05
61,fitz_type,type iii,2,0.5732948184013367,type iii,mac_hybrid_200_2048_1e-05
62,male,1,1,0.9999625,0,mac_hybrid_200_2048_1e-05
63,age,adult,0,0.9947595000267029,adult,mac_hybrid_200_2048_1e-05
64,hair_type,wavy,3,0.766684353351593,wavy,mac_hybrid_200_2048_1e-05
65,hair_color,black,0,0.9841916561126709,black,mac_hybrid_200_2048_1e-05
66,eye_color,black,1,0.9278355836868286,black,mac_hybrid_200_2048_1e-05
67,monk_scale,scale 4,4,0.5336589217185974,scale 4,mac_hybrid_200_2048_1e-05
68,fitz_type,type iii,2,0.20162290334701538,type iv,mac_hybrid_200_2048_1e-05
69,male,1,1,0.999997,0,mac_hybrid_200_2048_1e-05
70,age,adult,0,0.9924072623252869,adult,mac_hybrid_200_2048_1e-05
71,hair_type,wavy,3,0.8603174686431885,wavy,mac_hybrid_200_2048_1e-05
72,hair_color,black,0,0.4286322593688965,brunette,mac_hybrid_200_2048_1e-05
73,eye_color,black,1,0.8406320810317993,black,mac_hybrid_200_2048_1e-05
74,monk_scale,scale 4,4,0.9434404373168945,scale 4,mac_hybrid_200_2048_1e-05
75,fitz_type,type iii,2,0.6067308187484741,type iii,mac_hybrid_200_2048_1e-05
76,male,1,1,0.99999875,0,mac_hybrid_200_2048_1e-05
77,age,adult,0,0.9782291054725647,adult,mac_hybrid_200_2048_1e-05
78,hair_type,wavy,3,0.9173576235771179,wavy,mac_hybrid_200_2048_1e-05
79,hair_color,black,0,0.977421760559082,black,mac_hybrid_200_2048_1e-05
80,eye_color,black,1,0.9316065907478333,black,mac_hybrid_200_2048_1e-05
81,monk_scale,scale 4,4,0.7769396305084229,scale 4,mac_hybrid_200_2048_1e-05
82,fitz_type,type iii,2,0.18072161078453064,type iv,mac_hybrid_200_2048_1e-05
83,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
84,age,adult,0,0.9955787062644958,adult,mac_hybrid_200_2048_1e-05
85,hair_type,wavy,3,0.7297555208206177,wavy,mac_hybrid_200_2048_1e-05
86,hair_color,black,0,0.911676287651062,black,mac_hybrid_200_2048_1e-05
87,eye_color,black,1,0.8346422910690308,black,mac_hybrid_200_2048_1e-05
88,monk_scale,scale 4,4,0.3841664493083954,scale 4,mac_hybrid_200_2048_1e-05
89,fitz_type,type iii,2,0.9425296187400818,type iii,mac_hybrid_200_2048_1e-05
90,male,1,1,0.99999946,0,mac_hybrid_200_2048_1e-05
91,age,adult,0,0.9974709749221802,adult,mac_hybrid_200_2048_1e-05
92,hair_type,wavy,3,0.26899537444114685,curly,mac_hybrid_200_2048_1e-05
93,hair_color,black,0,0.9743012189865112,black,mac_hybrid_200_2048_1e-05
94,eye_color,black,1,0.8270605206489563,black,mac_hybrid_200_2048_1e-05
95,monk_scale,scale 4,4,0.31662285327911377,scale 4,mac_hybrid_200_2048_1e-05
96,fitz_type,type iii,2,0.09153047204017639,type iv,mac_hybrid_200_2048_1e-05
97,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
98,age,adult,0,0.9941644072532654,adult,mac_hybrid_200_2048_1e-05
99,hair_type,wavy,3,0.7522837519645691,wavy,mac_hybrid_200_2048_1e-05
100,hair_color,black,0,0.42700299620628357,brunette,mac_hybrid_200_2048_1e-05
101,eye_color,black,1,0.38746610283851624,brown,mac_hybrid_200_2048_1e-05
102,monk_scale,scale 4,4,0.3321589231491089,scale 5,mac_hybrid_200_2048_1e-05
103,fitz_type,type iii,2,0.7433255910873413,type iii,mac_hybrid_200_2048_1e-05
104,male,1,1,0.9999994,0,mac_hybrid_200_2048_1e-05
105,age,adult,0,0.9965158700942993,adult,mac_hybrid_200_2048_1e-05
106,hair_type,wavy,3,0.7199763059616089,wavy,mac_hybrid_200_2048_1e-05
107,hair_color,black,0,0.5064365863800049,black,mac_hybrid_200_2048_1e-05
108,eye_color,black,1,0.4119926989078522,brown,mac_hybrid_200_2048_1e-05
109,monk_scale,scale 4,4,0.8189577460289001,scale 4,mac_hybrid_200_2048_1e-05
110,fitz_type,type iii,2,0.6447006464004517,type iii,mac_hybrid_200_2048_1e-05
111,male,1,1,0.99999934,0,mac_hybrid_200_2048_1e-05
112,age,adult,0,0.9978343844413757,adult,mac_hybrid_200_2048_1e-05
113,hair_type,wavy,3,0.38341623544692993,curly,mac_hybrid_200_2048_1e-05
114,hair_color,black,0,0.9771933555603027,black,mac_hybrid_200_2048_1e-05
115,eye_color,black,1,0.7573527097702026,black,mac_hybrid_200_2048_1e-05
116,monk_scale,scale 4,4,0.9244111776351929,scale 4,mac_hybrid_200_2048_1e-05
117,fitz_type,type iii,2,0.8999513983726501,type iii,mac_hybrid_200_2048_1e-05
118,male,1,1,0.9999903,0,mac_hybrid_200_2048_1e-05
119,age,adult,0,0.9504455924034119,adult,mac_hybrid_200_2048_1e-05
120,hair_type,wavy,3,0.7055954337120056,wavy,mac_hybrid_200_2048_1e-05
121,hair_color,black,0,0.9697293639183044,black,mac_hybrid_200_2048_1e-05
122,eye_color,black,1,0.9983164072036743,black,mac_hybrid_200_2048_1e-05
123,monk_scale,scale 4,4,0.562013566493988,scale 4,mac_hybrid_200_2048_1e-05
124,fitz_type,type iii,2,0.8739444017410278,type iii,mac_hybrid_200_2048_1e-05
125,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
126,age,adult,0,0.9993165731430054,adult,mac_hybrid_200_2048_1e-05
127,hair_type,wavy,3,0.8158056139945984,wavy,mac_hybrid_200_2048_1e-05
128,hair_color,black,0,0.5449080467224121,black,mac_hybrid_200_2048_1e-05
129,eye_color,black,1,0.16438722610473633,brown,mac_hybrid_200_2048_1e-05
130,monk_scale,scale 4,4,0.6869886517524719,scale 4,mac_hybrid_200_2048_1e-05
131,fitz_type,type iii,2,0.7316877245903015,type iii,mac_hybrid_200_2048_1e-05
132,male,1,1,0.9999995,0,mac_hybrid_200_2048_1e-05
133,age,adult,0,0.9924479722976685,adult,mac_hybrid_200_2048_1e-05
134,hair_type,wavy,3,0.7520992755889893,wavy,mac_hybrid_200_2048_1e-05
135,hair_color,black,0,0.9203311800956726,black,mac_hybrid_200_2048_1e-05
136,eye_color,black,1,0.9490050673484802,black,mac_hybrid_200_2048_1e-05
137,monk_scale,scale 4,4,0.4625324010848999,scale 5,mac_hybrid_200_2048_1e-05
138,fitz_type,type iii,2,0.9383978843688965,type iii,mac_hybrid_200_2048_1e-05
139,male,1,1,0.99999917,0,mac_hybrid_200_2048_1e-05
140,age,adult,0,0.9995421171188354,adult,mac_hybrid_200_2048_1e-05
141,hair_type,wavy,3,0.07255545258522034,curly,mac_hybrid_200_2048_1e-05
142,hair_color,black,0,0.9882960915565491,black,mac_hybrid_200_2048_1e-05
143,eye_color,black,1,0.4971972107887268,black,mac_hybrid_200_2048_1e-05
144,monk_scale,scale 4,4,0.5964033603668213,scale 4,mac_hybrid_200_2048_1e-05
145,fitz_type,type iii,2,0.9609438180923462,type iii,mac_hybrid_200_2048_1e-05
146,male,1,1,0.99999946,0,mac_hybrid_200_2048_1e-05
147,age,adult,0,0.9810580015182495,adult,mac_hybrid_200_2048_1e-05
148,hair_type,wavy,3,0.43069717288017273,straight,mac_hybrid_200_2048_1e-05
149,hair_color,black,0,0.9933369159698486,black,mac_hybrid_200_2048_1e-05
150,eye_color,black,1,0.7459433674812317,black,mac_hybrid_200_2048_1e-05
151,monk_scale,scale 4,4,0.4842047393321991,scale 4,mac_hybrid_200_2048_1e-05
152,fitz_type,type iii,2,0.9742341637611389,type iii,mac_hybrid_200_2048_1e-05
153,male,1,1,0.99999774,0,mac_hybrid_200_2048_1e-05
154,age,adult,0,0.9982427358627319,adult,mac_hybrid_200_2048_1e-05
155,hair_type,wavy,3,0.34223464131355286,wavy,mac_hybrid_200_2048_1e-05
156,hair_color,black,0,0.9916477203369141,black,mac_hybrid_200_2048_1e-05
157,eye_color,black,1,0.836267352104187,black,mac_hybrid_200_2048_1e-05
158,monk_scale,scale 4,4,0.8222094178199768,scale 4,mac_hybrid_200_2048_1e-05
159,fitz_type,type iii,2,0.6888772249221802,type iii,mac_hybrid_200_2048_1e-05
160,male,1,1,0.9999989,0,mac_hybrid_200_2048_1e-05
161,age,adult,0,0.9723963141441345,adult,mac_hybrid_200_2048_1e-05
162,hair_type,wavy,3,0.4912888705730438,wavy,mac_hybrid_200_2048_1e-05
163,hair_color,black,0,0.9925813674926758,black,mac_hybrid_200_2048_1e-05
164,eye_color,black,1,0.7818055748939514,black,mac_hybrid_200_2048_1e-05
165,monk_scale,scale 4,4,0.5066245198249817,scale 4,mac_hybrid_200_2048_1e-05
166,fitz_type,type iii,2,0.8415049910545349,type iii,mac_hybrid_200_2048_1e-05
167,male,1,1,0.99999297,0,mac_hybrid_200_2048_1e-05
168,age,adult,0,0.9932316541671753,adult,mac_hybrid_200_2048_1e-05
169,hair_type,wavy,3,0.3535158634185791,wavy,mac_hybrid_200_2048_1e-05
170,hair_color,black,0,0.9973675608634949,black,mac_hybrid_200_2048_1e-05
171,eye_color,black,1,0.8238107562065125,black,mac_hybrid_200_2048_1e-05
172,monk_scale,scale 4,4,0.8492119312286377,scale 4,mac_hybrid_200_2048_1e-05
173,fitz_type,type iii,2,0.8453733921051025,type iii,mac_hybrid_200_2048_1e-05
174,male,1,1,0.9999938,0,mac_hybrid_200_2048_1e-05
175,age,adult,0,0.9591777324676514,adult,mac_hybrid_200_2048_1e-05
176,hair_type,wavy,3,0.6546728014945984,wavy,mac_hybrid_200_2048_1e-05
177,hair_color,black,0,0.9800006747245789,black,mac_hybrid_200_2048_1e-05
178,eye_color,black,1,0.6946953535079956,black,mac_hybrid_200_2048_1e-05
179,monk_scale,scale 4,4,0.378635436296463,scale 6,mac_hybrid_200_2048_1e-05
180,fitz_type,type iii,2,0.6632829904556274,type iii,mac_hybrid_200_2048_1e-05
181,male,1,1,0.99999857,0,mac_hybrid_200_2048_1e-05
182,age,adult,0,0.9995668530464172,adult,mac_hybrid_200_2048_1e-05
183,hair_type,wavy,3,0.062463849782943726,curly,mac_hybrid_200_2048_1e-05
184,hair_color,black,0,0.8555446863174438,black,mac_hybrid_200_2048_1e-05
185,eye_color,black,1,0.6521437168121338,black,mac_hybrid_200_2048_1e-05
186,monk_scale,scale 4,4,0.8656625747680664,scale 4,mac_hybrid_200_2048_1e-05
187,fitz_type,type iii,2,0.3539760708808899,type iv,mac_hybrid_200_2048_1e-05
188,male,1,1,0.9999976,0,mac_hybrid_200_2048_1e-05
189,age,adult,0,0.999646782875061,adult,mac_hybrid_200_2048_1e-05
190,hair_type,wavy,3,0.6503041386604309,wavy,mac_hybrid_200_2048_1e-05
191,hair_color,black,0,0.8609626293182373,black,mac_hybrid_200_2048_1e-05
192,eye_color,black,1,0.8241465091705322,black,mac_hybrid_200_2048_1e-05
193,monk_scale,scale 4,4,0.8880677223205566,scale 4,mac_hybrid_200_2048_1e-05
194,fitz_type,type iii,2,0.8724772334098816,type iii,mac_hybrid_200_2048_1e-05
195,male,1,1,0.99999744,0,mac_hybrid_200_2048_1e-05
196,age,adult,0,0.9997280240058899,adult,mac_hybrid_200_2048_1e-05
197,hair_type,wavy,3,0.7433151006698608,wavy,mac_hybrid_200_2048_1e-05
198,hair_color,black,0,0.9547839760780334,black,mac_hybrid_200_2048_1e-05
199,eye_color,black,1,0.968377411365509,black,mac_hybrid_200_2048_1e-05
200,monk_scale,scale 4,4,0.833774209022522,scale 4,mac_hybrid_200_2048_1e-05
201,fitz_type,type iii,2,0.9368930459022522,type iii,mac_hybrid_200_2048_1e-05
202,male,1,1,0.9999993,0,mac_hybrid_200_2048_1e-05
203,age,adult,0,0.9863147735595703,adult,mac_hybrid_200_2048_1e-05
204,hair_type,wavy,3,0.7322354912757874,wavy,mac_hybrid_200_2048_1e-05
205,hair_color,black,0,0.9645965099334717,black,mac_hybrid_200_2048_1e-05
206,eye_color,black,1,0.8231188058853149,black,mac_hybrid_200_2048_1e-05
207,monk_scale,scale 4,4,0.8445702791213989,scale 4,mac_hybrid_200_2048_1e-05
208,fitz_type,type iii,2,0.7501596808433533,type iii,mac_hybrid_200_2048_1e-05
209,male,1,1,0.9999979,0,mac_hybrid_200_2048_1e-05
210,age,adult,0,0.9951340556144714,adult,mac_hybrid_200_2048_1e-05
211,hair_type,wavy,3,0.5356573462486267,wavy,mac_hybrid_200_2048_1e-05
212,hair_color,black,0,0.989832878112793,black,mac_hybrid_200_2048_1e-05
213,eye_color,black,1,0.5936429500579834,black,mac_hybrid_200_2048_1e-05
214,monk_scale,scale 4,4,0.5116497278213501,scale 4,mac_hybrid_200_2048_1e-05
215,fitz_type,type iii,2,0.6730721592903137,type iii,mac_hybrid_200_2048_1e-05
216,male,1,1,0.9999949,0,mac_hybrid_200_2048_1e-05
217,age,adult,0,0.9965835213661194,adult,mac_hybrid_200_2048_1e-05
218,hair_type,wavy,3,0.6895648837089539,wavy,mac_hybrid_200_2048_1e-05
219,hair_color,black,0,0.9814203381538391,black,mac_hybrid_200_2048_1e-05
220,eye_color,black,1,0.19048789143562317,brown,mac_hybrid_200_2048_1e-05
221,monk_scale,scale 4,4,0.9815560579299927,scale 4,mac_hybrid_200_2048_1e-05
222,fitz_type,type iii,2,0.17298559844493866,type iv,mac_hybrid_200_2048_1e-05
223,male,1,1,0.9999996,0,mac_hybrid_200_2048_1e-05
224,age,adult,0,0.9953864216804504,adult,mac_hybrid_200_2048_1e-05
225,hair_type,wavy,3,0.8423861265182495,wavy,mac_hybrid_200_2048_1e-05
226,hair_color,black,0,0.8838759064674377,black,mac_hybrid_200_2048_1e-05
227,eye_color,black,1,0.4890706241130829,brown,mac_hybrid_200_2048_1e-05
228,monk_scale,scale 4,4,0.39665812253952026,scale 5,mac_hybrid_200_2048_1e-05
229,fitz_type,type iii,2,0.09401459246873856,type iv,mac_hybrid_200_2048_1e-05
230,male,1,1,1.0,0,mac_hybrid_200_2048_1e-05
